N,k,Trials,Avg Time (s),Std Time (s),Min Time (s),Max Time (s),Avg Depth,Avg Fidelity
2,3,5,3.0241999999999996,1.076626100370969,2.341,5.154,130.4,0.8094360316258763
2,4,5,2.2339999999999995,0.19363574050262522,1.87,2.414,209.0,0.9176975042257374
2,5,5,2.4379999999999997,0.2721404049383333,2.086,2.915,298.0,0.9876547048897197
2,6,5,2.4806000000000004,0.23172362848876676,2.184,2.87,395.6,0.9955597795491524
2,7,5,2.7264,0.189302509227955,2.399,2.943,817.4,0.9984963310062789
4,3,5,3.6362,0.16943010358256883,3.348,3.834,288.6,0.8169435148399959
4,4,5,4.575999999999999,0.19343732835210461,4.24,4.781,446.0,0.7261759672393111
4,5,5,5.2324,0.2754847364192796,4.807,5.644,695.4,0.9110787256185995
4,6,5,5.327,0.39632915613161757,4.829,5.963,931.4,0.9775259280181519
4,7,5,6.0732,0.18536277943535479,5.732,6.242,1737.2,0.9265361414972089
8,3,5,11.2334,0.4893193640149546,10.663,11.982,983.2,0.7559370831231302
8,4,5,12.5806,0.715014573278056,11.604,13.749,1410.2,0.7777821232966178
8,5,5,13.607,0.48986937034274797,13.008,14.304,1936.2,0.8721700513918588
8,6,5,16.6214,0.2533642437282734,16.236,16.883,2717.4,0.88774645056937
8,7,5,19.0272,0.3138785752484553,18.66,19.521,4741.2,0.9237036639508863
16,3,5,38.1372,0.45085314682277655,37.501,38.606,4338.4,0.5562862161289097
16,4,5,47.5012,0.7699411406075143,46.748,48.973,5789.0,0.6813247979653105
16,5,5,54.858000000000004,1.3230699150082739,53.447,57.325,7216.2,0.8214662995597365
16,6,5,73.42960000000001,21.907156352206005,61.18,117.196,8986.0,0.7898541577857048
16,7,5,74.4592,0.4698175816207831,73.52,74.718,13284.2,0.7368476800381278
